Frame,Car_Count,Truck_Count,Bike_Count,Bus_Count,2_Wheeler_Count,3_Wheeler_Count,4_Wheeler_Count,6_Wheeler_Count,Other_Vehicles,Avg_Speed_kmh,Time_To_Cross_sec,Total_Vehicles,Total Vehicles,Vehicle Density
0,0,14,0,0,0,0,14,0,0,57.64891865,0,14,14,6.75E-06
1,0,0,0,14,0,0,0,14,0,50.5975621,0.033333333,14,0,0
2,0,0,0,0,0,0,0,0,14,34.72333199,0.066666667,14,14,6.75E-06
3,0,0,0,0,0,0,0,0,14,36.88692331,0.1,14,14,6.75E-06
4,0,0,0,0,0,0,0,0,14,43.77249063,0.133333333,14,14,6.75E-06
5,1,0,0,0,0,0,1,0,13,48.29073199,0.166666667,14,14,6.75E-06
6,0,0,0,0,0,0,0,0,12,31.40250794,0.2,12,12,5.79E-06
7,0,0,0,0,0,0,0,0,12,37.10394467,0.233333333,12,12,5.79E-06
8,0,0,0,0,0,0,0,0,12,37.95759895,0.266666667,12,12,5.79E-06
9,0,1,0,0,0,0,1,0,12,36.38878451,0.3,13,13,6.27E-06
10,0,0,0,1,0,0,0,1,12,45.12170475,0.333333333,13,12,5.79E-06
11,0,1,0,0,0,0,1,0,12,59.07067427,0.366666667,13,13,6.27E-06
12,0,0,0,1,0,0,0,1,12,53.58823746,0.4,13,12,5.79E-06
13,0,0,0,0,0,0,0,0,13,39.95975173,0.433333333,13,13,6.27E-06
14,0,0,0,0,0,0,0,0,13,52.18298809,0.466666667,13,13,6.27E-06
15,0,0,0,0,0,0,0,0,13,46.06581771,0.5,13,13,6.27E-06
16,0,0,0,0,0,0,0,0,13,32.88385661,0.533333333,13,13,6.27E-06
17,0,0,0,0,0,0,0,0,13,41.29688236,0.566666667,13,13,6.27E-06
18,0,0,0,0,0,0,0,0,13,56.99922188,0.6,13,13,6.27E-06
19,0,0,0,0,0,0,0,0,13,56.30487814,0.633333333,13,13,6.27E-06
20,0,0,0,0,0,0,0,0,13,48.58222818,0.666666667,13,13,6.27E-06
21,0,0,0,0,0,0,0,0,12,40.31923782,0.7,12,12,5.79E-06
22,0,1,0,0,0,0,1,0,12,37.63055664,0.733333333,13,13,6.27E-06
23,0,1,0,1,0,0,1,1,12,50.14859064,0.766666667,14,13,6.27E-06
24,0,0,0,1,0,0,0,1,13,43.54221635,0.8,14,13,6.27E-06
25,0,1,0,0,0,0,1,0,14,36.23198161,0.833333333,15,15,7.23E-06
26,0,0,0,1,0,0,0,1,14,58.49036502,0.866666667,15,14,6.75E-06
27,0,0,0,0,0,0,0,0,15,53.05363202,0.9,15,15,7.23E-06
28,0,0,0,0,0,0,0,0,14,59.08135962,0.933333333,14,14,6.75E-06
29,0,0,0,0,0,0,0,0,14,38.92836131,0.966666667,14,14,6.75E-06
30,0,0,0,0,0,0,0,0,14,33.39674527,1,14,14,6.75E-06
31,0,0,0,0,0,0,0,0,14,50.97140172,1.033333333,14,14,6.75E-06
