Frame,Car_Count,Truck_Count,Bike_Count,Bus_Count,2_Wheeler_Count,3_Wheeler_Count,4_Wheeler_Count,6_Wheeler_Count,Other_Vehicles,Avg_Speed_kmh,Time_To_Cross_sec,Total_Vehicles
0,0,11,0,0,0,0,11,0,0,30.823412688171505,0.0,11
1,0,0,0,11,0,0,0,11,0,54.51283286613554,0.034482758620689655,11
2,0,0,0,0,0,0,0,0,11,51.7791667505646,0.06896551724137931,11
3,0,1,0,0,0,0,1,0,11,41.48375918943218,0.10344827586206896,12
4,0,0,0,1,0,0,0,1,11,58.55246015443736,0.13793103448275862,12
5,0,0,0,0,0,0,0,0,12,33.65967714758724,0.1724137931034483,12
6,1,0,0,0,0,0,1,0,11,43.688311615267736,0.20689655172413793,12
7,0,0,0,0,0,0,0,0,12,34.92743601555563,0.24137931034482757,12
8,0,0,0,0,0,0,0,0,12,37.898320938343375,0.27586206896551724,12
9,0,0,1,0,1,0,0,0,11,51.8105467967376,0.3103448275862069,12
10,0,0,0,0,0,0,0,0,12,34.514587314195765,0.3448275862068966,12
11,0,0,0,0,0,0,0,0,11,59.42115233377797,0.3793103448275862,11
12,0,0,0,0,0,0,0,0,11,37.4038323026959,0.41379310344827586,11
13,0,0,0,0,0,0,0,0,11,56.20011277267093,0.4482758620689655,11
14,0,0,0,0,0,0,0,0,11,33.64677784942017,0.48275862068965514,11
15,0,0,0,0,0,0,0,0,11,36.163639708334166,0.5172413793103449,11
16,0,1,0,0,0,0,1,0,11,36.955955147839134,0.5517241379310345,12
17,0,0,0,1,0,0,0,1,11,31.24329991415938,0.5862068965517241,12
18,0,1,0,0,0,0,1,0,12,38.5642748609351,0.6206896551724138,13
19,0,1,0,1,0,0,1,1,12,36.69941232097701,0.6551724137931034,14
20,0,0,0,1,0,0,0,1,12,57.70750829507935,0.6896551724137931,13
21,0,1,0,0,0,0,1,0,13,35.90724684873455,0.7241379310344828,14
22,0,1,0,1,0,0,1,1,13,51.22636591041122,0.7586206896551724,15
23,0,0,0,1,0,0,0,1,14,45.41720827246829,0.7931034482758621,15
24,0,0,0,0,0,0,0,0,15,40.00923681102586,0.8275862068965517,15
25,0,1,0,0,0,0,1,0,15,40.21448971876663,0.8620689655172413,16
26,0,0,0,1,0,0,0,1,15,57.20966335585131,0.896551724137931,16
27,0,0,0,0,0,0,0,0,16,39.67587026947757,0.9310344827586207,16
28,0,0,0,0,0,0,0,0,16,36.05084751029208,0.9655172413793103,16
29,0,0,0,0,0,0,0,0,16,45.23428315088845,1.0,16
30,0,0,0,0,0,0,0,0,16,51.76572075941218,1.0344827586206897,16
31,0,1,0,0,0,0,1,0,15,41.92762748001177,1.0689655172413792,16
32,0,0,0,1,0,0,0,1,15,31.36726849588678,1.103448275862069,16
33,0,0,0,0,0,0,0,0,16,41.4742179948028,1.1379310344827587,16
34,0,0,0,0,0,0,0,0,16,53.60304139167275,1.1724137931034482,16
35,0,1,0,0,0,0,1,0,16,46.52445220623549,1.206896551724138,17
36,0,0,0,1,0,0,0,1,16,40.62538303825659,1.2413793103448276,17
37,0,0,0,0,0,0,0,0,17,51.29710442383057,1.2758620689655171,17
38,0,0,0,0,0,0,0,0,17,37.692269854048824,1.3103448275862069,17
39,1,0,0,0,0,0,1,0,16,53.87385293048539,1.3448275862068966,17
40,0,0,0,0,0,0,0,0,17,55.94658110508459,1.3793103448275863,17
41,0,0,0,0,0,0,0,0,17,51.94741905637465,1.4137931034482758,17
42,0,0,0,0,0,0,0,0,17,45.41207899314985,1.4482758620689655,17
43,0,0,1,0,1,0,0,0,16,52.309060642455016,1.4827586206896552,17
44,0,0,0,0,0,0,0,0,16,42.45491540104655,1.5172413793103448,16
45,0,1,0,0,0,0,1,0,16,45.579684267029926,1.5517241379310345,17
46,0,0,0,1,0,0,0,1,16,33.66890032983812,1.5862068965517242,17
47,0,0,0,0,0,0,0,0,17,32.8311813592542,1.6206896551724137,17
48,0,0,0,0,0,0,0,0,17,37.101480773090586,1.6551724137931034,17
49,0,0,0,0,0,0,0,0,16,57.27414357889619,1.6896551724137931,16
50,0,0,0,0,0,0,0,0,16,54.36497245310706,1.7241379310344827,16
51,0,1,0,0,0,0,1,0,16,51.85227290914666,1.7586206896551724,17
52,0,0,0,1,0,0,0,1,16,46.61054057844564,1.793103448275862,17
53,0,0,0,0,0,0,0,0,17,31.389659749291294,1.8275862068965516,17
54,0,0,0,0,0,0,0,0,17,47.311629455953565,1.8620689655172413,17
55,0,0,0,0,0,0,0,0,17,43.792335209859864,1.896551724137931,17
56,0,1,0,0,0,0,1,0,17,39.70272359343012,1.9310344827586206,18
